parameter,alpha,residual_norm,smoothness_norm,mean_measurement,std_measurement,min_measurement,max_measurement,mean_smoothed,std_smoothed,min_smoothed,max_smoothed
Relative humidity,1.0,0.7440926583384453,0.4735607515330101,75.45138888888889,16.419766991982183,46.0,94.0,75.45138888888891,16.38941072932437,46.32975394262305,93.94744226283224
Relative humidity,10.0,1.017689127995684,0.2110609394477644,75.45138888888889,16.419766991982183,46.0,94.0,75.45138888888881,16.36137208780088,46.60111954074267,93.51330751547152
Relative humidity,100.0,1.4320802194623499,0.09910492481101515,75.45138888888889,16.419766991982183,46.0,94.0,75.45138888888944,16.297877770767734,47.11707072773401,92.82636858702801
Relative humidity,1000.0,2.0315931060527457,0.05306447418146674,75.45138888888889,16.419766991982183,46.0,94.0,75.45138888888826,16.1222801866231,46.69055292472492,92.82324835861805
10-minute precipitation,1.0,0.008356827316740095,0.00391766948581643,0.001388888888888889,0.011702985796078279,0.0,0.1,0.0013888888888888894,0.006070698674972752,-0.0013235347582985753,0.03882049950062534
10-minute precipitation,10.0,0.010117141058946332,0.0009067699818958687,0.001388888888888889,0.011702985796078279,0.0,0.1,0.0013888888888888896,0.0042880176139428895,-0.0008135700355350303,0.020465443110756515
10-minute precipitation,100.0,0.010970848345162931,0.00018263430652925626,0.001388888888888889,0.011702985796078279,0.0,0.1,0.0013888888888889024,0.0031657477362349233,-0.00046268953881045867,0.010972924767120754
10-minute precipitation,1000.0,0.011261455825035306,3.578294414767759e-05,0.001388888888888889,0.011702985796078279,0.0,0.1,0.0013888888888888252,0.0027593872974326123,-0.00035171877445665695,0.00835102899291647
Temperature,1.0,0.12118070650469907,0.08504320807762875,21.185416618982952,2.120533536691979,18.0,25.100000381469727,21.185416618982956,2.1136967428324698,18.0756859852406,25.079229744723676
Temperature,10.0,0.17802741803104452,0.02932158148430455,21.185416618982952,2.120533536691979,18.0,25.100000381469727,21.185416618982927,2.109031160680705,18.122497601643108,25.126363810912032
Temperature,100.0,0.22448554581065014,0.010524651740393614,21.185416618982952,2.120533536691979,18.0,25.100000381469727,21.185416618983083,2.1034311851858813,18.12122434706053,25.275553776843072
Temperature,1000.0,0.27070272769730347,0.005354448946666542,21.185416618982952,2.120533536691979,18.0,25.100000381469727,21.185416618982703,2.0896982219279816,18.170836585558646,25.4042027919253
10-minute mean wind speed,1.0,0.2556122659254902,0.15633988590317263,4.63958321346177,1.253728777335409,2.5999999046325684,8.199999809265137,4.639583213461771,1.2075979652457713,2.661036040611722,7.668948812453599
10-minute mean wind speed,10.0,0.3466994818087347,0.05579694251804366,4.63958321346177,1.253728777335409,2.5999999046325684,8.199999809265137,4.639583213461764,1.1790819079970236,2.770051575264999,7.326119745201754
10-minute mean wind speed,100.0,0.4390806292176019,0.020500542505505717,4.63958321346177,1.253728777335409,2.5999999046325684,8.199999809265137,4.639583213461795,1.1384889206567186,2.910136609488201,6.985849259260891
10-minute mean wind speed,1000.0,0.5388557073073301,0.007479163901841356,4.63958321346177,1.253728777335409,2.5999999046325684,8.199999809265137,4.63958321346171,1.0821961092296153,3.1831390228422283,6.674334569548989
Maximum wind gust,1.0,0.38305707762542557,0.24011949753773257,6.916666683223513,1.6352879682887154,4.199999809265137,11.100000381469728,6.916666683223514,1.5536154163796518,4.241909414141123,10.759286109649054
Maximum wind gust,10.0,0.526642556188147,0.07946067447241885,6.916666683223513,1.6352879682887154,4.199999809265137,11.100000381469728,6.916666683223503,1.5074111151379082,4.457665139484721,10.277981722768127
Maximum wind gust,100.0,0.6487498656141603,0.025625979215639774,6.916666683223513,1.6352879682887154,4.199999809265137,11.100000381469728,6.916666683223545,1.4573181979527885,4.701326682970977,9.729569496160654
Maximum wind gust,1000.0,0.7549814829588284,0.009232553543889764,6.916666683223513,1.6352879682887154,4.199999809265137,11.100000381469728,6.916666683223443,1.3914227929579637,5.083580808594594,9.559306941967037
