"DateTime";"Luftfugtighed"
"2026-06-28 19:10:00";72
"2026-06-28 19:20:00";72
"2026-06-28 19:30:00";72
"2026-06-28 19:40:00";72
"2026-06-28 19:50:00";72
"2026-06-28 20:00:00";71
"2026-06-28 20:10:00";72
"2026-06-28 20:20:00";73
"2026-06-28 20:30:00";73
"2026-06-28 20:40:00";73
"2026-06-28 20:50:00";73
"2026-06-28 21:00:00";70
"2026-06-28 21:10:00";72
"2026-06-28 21:20:00";70
"2026-06-28 21:30:00";71
"2026-06-28 21:40:00";73
"2026-06-28 21:50:00";73
"2026-06-28 22:00:00";72
"2026-06-28 22:10:00";75
"2026-06-28 22:20:00";75
"2026-06-28 22:30:00";78
"2026-06-28 22:40:00";79
"2026-06-28 22:50:00";81
"2026-06-28 23:00:00";83
"2026-06-28 23:10:00";85
"2026-06-28 23:20:00";86
"2026-06-28 23:30:00";87
"2026-06-28 23:40:00";85
"2026-06-28 23:50:00";83
"2026-06-29 00:00:00";85
"2026-06-29 00:10:00";87
"2026-06-29 00:20:00";87
"2026-06-29 00:30:00";88
"2026-06-29 00:40:00";89
"2026-06-29 00:50:00";90
"2026-06-29 01:00:00";90
"2026-06-29 01:10:00";91
"2026-06-29 01:20:00";92
"2026-06-29 01:30:00";92
"2026-06-29 01:40:00";93
"2026-06-29 01:50:00";93
"2026-06-29 02:00:00";94
"2026-06-29 02:10:00";94
"2026-06-29 02:20:00";94
"2026-06-29 02:30:00";93
"2026-06-29 02:40:00";92
"2026-06-29 02:50:00";92
"2026-06-29 03:00:00";90
"2026-06-29 03:10:00";91
"2026-06-29 03:20:00";91
"2026-06-29 03:30:00";91
"2026-06-29 03:40:00";92
"2026-06-29 03:50:00";93
"2026-06-29 04:00:00";94
"2026-06-29 04:10:00";93
"2026-06-29 04:20:00";93
"2026-06-29 04:30:00";93
"2026-06-29 04:40:00";92
"2026-06-29 04:50:00";93
"2026-06-29 05:00:00";93
"2026-06-29 05:10:00";92
"2026-06-29 05:20:00";92
"2026-06-29 05:30:00";91
"2026-06-29 05:40:00";91
"2026-06-29 05:50:00";91
"2026-06-29 06:00:00";92
"2026-06-29 06:10:00";91
"2026-06-29 06:20:00";91
"2026-06-29 06:30:00";91
"2026-06-29 06:40:00";90
"2026-06-29 06:50:00";89
"2026-06-29 07:00:00";89
"2026-06-29 07:10:00";89
"2026-06-29 07:20:00";88
"2026-06-29 07:30:00";86
"2026-06-29 07:40:00";86
"2026-06-29 07:50:00";85
"2026-06-29 08:00:00";86
"2026-06-29 08:10:00";83
"2026-06-29 08:20:00";84
"2026-06-29 08:30:00";84
"2026-06-29 08:40:00";84
"2026-06-29 08:50:00";86
"2026-06-29 09:00:00";86
"2026-06-29 09:10:00";86
"2026-06-29 09:20:00";86
"2026-06-29 09:30:00";83
"2026-06-29 09:40:00";84
"2026-06-29 09:50:00";84
"2026-06-29 10:00:00";85
"2026-06-29 10:10:00";85
"2026-06-29 10:20:00";86
"2026-06-29 10:30:00";86
"2026-06-29 10:40:00";84
"2026-06-29 10:50:00";82
"2026-06-29 11:00:00";83
"2026-06-29 11:10:00";82
"2026-06-29 11:20:00";82
"2026-06-29 11:30:00";80
"2026-06-29 11:40:00";75
"2026-06-29 11:50:00";78
"2026-06-29 12:00:00";75
"2026-06-29 12:10:00";76
"2026-06-29 12:20:00";77
"2026-06-29 12:30:00";77
"2026-06-29 12:40:00";73
"2026-06-29 12:50:00";74
"2026-06-29 13:00:00";68
"2026-06-29 13:10:00";69
"2026-06-29 13:20:00";62
"2026-06-29 13:30:00";55
"2026-06-29 13:40:00";53
"2026-06-29 13:50:00";52
"2026-06-29 14:00:00";53
"2026-06-29 14:10:00";50
"2026-06-29 14:20:00";48
"2026-06-29 14:30:00";49
"2026-06-29 14:40:00";49
"2026-06-29 14:50:00";49
"2026-06-29 15:00:00";48
"2026-06-29 15:10:00";51
"2026-06-29 15:20:00";46
"2026-06-29 15:30:00";47
"2026-06-29 15:40:00";48
"2026-06-29 15:50:00";49
"2026-06-29 16:00:00";47
"2026-06-29 16:10:00";47
"2026-06-29 16:20:00";48
"2026-06-29 16:30:00";46
"2026-06-29 16:40:00";49
"2026-06-29 16:50:00";50
"2026-06-29 17:00:00";48
"2026-06-29 17:10:00";46
"2026-06-29 17:20:00";47
"2026-06-29 17:30:00";46
"2026-06-29 17:40:00";47
"2026-06-29 17:50:00";46
"2026-06-29 18:00:00";46
"2026-06-29 18:10:00";49
"2026-06-29 18:20:00";49
"2026-06-29 18:30:00";48
"2026-06-29 18:40:00";50
"2026-06-29 18:50:00";50
"2026-06-29 19:00:00";52
